method,rmse,top1_regret,top1_hit_rate,seed,coverage,mean_support
fixed_level_2,0.1093196381292353,0.017136288806796074,0.5,20260910,1.0,173.8644859813084
fixed_level_3,0.10987061187226149,0.016658317297697067,0.4950980392156863,20260910,0.9532710280373832,102.3578431372549
fixed_level_4,0.10936202554463426,0.01630575768649578,0.5135135135135135,20260910,0.8644859813084113,31.102702702702704
operational_theorem_frontier,0.1094527664117344,0.016079282388091087,0.5093457943925234,20260910,1.0,0.018691588785046728
operational_mean_frontier,0.10944865993845711,0.016966992989182472,0.5093457943925234,20260910,1.0,95.67289719626169
old_score_proxy,0.10889838775194047,0.01694747805595398,0.5,20260910,1.0,129.6355140186916
base,0.10856496399839732,0.022127028554677963,0.4532710280373832,20260911,1.0,0.0
fixed_level_1,0.10866724118708726,0.022063041105866432,0.46261682242990654,20260911,1.0,194.88785046728972
fixed_level_2,0.10867974191931228,0.021988024935126305,0.4672897196261682,20260911,1.0,182.33177570093457
fixed_level_3,0.10841554188615318,0.02177976816892624,0.46634615384615385,20260911,0.9719626168224299,103.7548076923077
fixed_level_4,0.10795956604812311,0.02227175235748291,0.45408163265306123,20260911,0.9158878504672897,26.79591836734694
operational_theorem_frontier,0.10856496399839732,0.022127028554677963,0.4532710280373832,20260911,1.0,0.0
operational_mean_frontier,0.10888804041929477,0.021743647754192352,0.4719626168224299,20260911,1.0,68.99065420560747
old_score_proxy,0.10824499284083611,0.022211695089936256,0.45794392523364486,20260911,1.0,109.61214953271028
base,0.10954116877666492,0.0180355217307806,0.5186915887850467,20260912,1.0,0.0
fixed_level_1,0.11029241384220217,0.01571701280772686,0.5607476635514018,20260912,1.0,187.18691588785046
fixed_level_2,0.11041821306965763,0.016052743420004845,0.5560747663551402,20260912,1.0,171.6728971962617
fixed_level_3,0.10983147205552109,0.016406767070293427,0.5485436893203883,20260912,0.9626168224299065,102.78155339805825
fixed_level_4,0.109699548322715,0.01651845872402191,0.553763440860215,20260912,0.8691588785046729,28.736559139784948
operational_theorem_frontier,0.10954116877666492,0.0180355217307806,0.5186915887850467,20260912,1.0,0.0
operational_mean_frontier,0.10899262058142271,0.01612476259469986,0.5514018691588785,20260912,1.0,53.17289719626168
old_score_proxy,0.11052737892430725,0.01589357480406761,0.5514018691588785,20260912,1.0,141.46728971962617
base,0.10916285863299846,0.018547868356108665,0.4719626168224299,20260913,1.0,0.0
fixed_level_1,0.10874250455313131,0.018927453085780144,0.4719626168224299,20260913,1.0,196.70093457943926
fixed_level_2,0.10850424754426918,0.01905723288655281,0.46261682242990654,20260913,1.0,177.90654205607476
fixed_level_3,0.1080557193820058,0.019234802573919296,0.470873786407767,20260913,0.9626168224299065,100.01941747572816
fixed_level_4,0.1071002895354675,0.01880866102874279,0.4816753926701571,20260913,0.8925233644859814,26.926701570680628
operational_theorem_frontier,0.10916285863299846,0.018547868356108665,0.4719626168224299,20260913,1.0,0.0
operational_mean_frontier,0.10824178925701262,0.01929280161857605,0.4672897196261682,20260913,1.0,101.69158878504673
old_score_proxy,0.10846680851215681,0.01877562142908573,0.4672897196261682,20260913,1.0,142.0
base,0.10851033291908624,0.018490295857191086,0.48598130841121495,20260914,1.0,0.0
fixed_level_1,0.10842611712650925,0.019159827381372452,0.48598130841121495,20260914,1.0,198.47196261682242
fixed_level_2,0.10860724754001229,0.018840594217181206,0.4953271028037383,20260914,1.0,179.38785046728972
fixed_level_3,0.10822098779209567,0.017924804240465164,0.5145631067961165,20260914,0.9626168224299065,108.77669902912622
fixed_level_4,0.10642086860226277,0.017684515565633774,0.5,20260914,0.9065420560747663,28.1340206185567
operational_theorem_frontier,0.10851033291908624,0.018490295857191086,0.48598130841121495,20260914,1.0,0.0
operational_mean_frontier,0.10842474341094818,0.019243452697992325,0.48130841121495327,20260914,1.0,57.14018691588785
old_score_proxy,0.10854072594873458,0.018557336181402206,0.49065420560747663,20260914,1.0,111.27102803738318
base,0.1137492225517375,0.020290855318307877,0.4719626168224299,20260915,1.0,0.0
fixed_level_1,0.11354311472393142,0.02151828445494175,0.4439252336448598,20260915,1.0,190.11214953271028
fixed_level_2,0.11383806246533407,0.021513773128390312,0.4485981308411215,20260915,1.0,173.16355140186917
fixed_level_3,0.11456498259611873,0.019802533090114594,0.4666666666666667,20260915,0.9813084112149533,103.1047619047619
fixed_level_4,0.11233854712681206,0.02106897346675396,0.45595854922279794,20260915,0.9018691588785047,27.844559585492227
operational_theorem_frontier,0.1137492225517375,0.020290855318307877,0.4719626168224299,20260915,1.0,0.0
operational_mean_frontier,0.11352883916584056,0.019899506121873856,0.4719626168224299,20260915,1.0,60.0607476635514
old_score_proxy,0.11374648240353956,0.020668471232056618,0.45794392523364486,20260915,1.0,138.28971962616822
base,0.11091403784088776,0.02228674106299877,0.4672897196261682,20260916,1.0,0.0
fixed_level_1,0.11027109933629212,0.022083023563027382,0.4672897196261682,20260916,1.0,190.5981308411215
fixed_level_2,0.11005545338125323,0.022083023563027382,0.4672897196261682,20260916,1.0,174.89719626168224
fixed_level_3,0.10761651129020856,0.021561307832598686,0.47368421052631576,20260916,0.9766355140186916,101.43062200956938
fixed_level_4,0.10538884007572431,0.021411560475826263,0.4787234042553192,20260916,0.8785046728971962,29.3031914893617
operational_theorem_frontier,0.11091403784088776,0.02228674106299877,0.4672897196261682,20260916,1.0,0.0
operational_mean_frontier,0.10959412279471505,0.022270865738391876,0.46261682242990654,20260916,1.0,62.48598130841121
old_score_proxy,0.10994860340379381,0.022506022825837135,0.46261682242990654,20260916,1.0,139.82242990654206
base,0.11430406256554894,0.0175909623503685,0.5046728971962616,20260917,1.0,0.0
fixed_level_1,0.11428392273130081,0.01822981797158718,0.4953271028037383,20260917,1.0,189.29439252336448
fixed_level_2,0.11439713473774529,0.01812593825161457,0.4953271028037383,20260917,1.0,170.7710280373832
fixed_level_3,0.1149613768795579,0.018500346690416336,0.49760765550239233,20260917,0.9766355140186916,100.98086124401914
