method,rmse,top1_regret,top1_hit_rate,seed,coverage,mean_support
old_score_proxy,0.10998095593605176,0.02227436564862728,0.46261682242990654,20260916,1.0,110.83177570093459
base,0.11430406256554894,0.0175909623503685,0.5046728971962616,20260917,1.0,0.0
fixed_level_1,0.1141583210059705,0.01822981797158718,0.4953271028037383,20260917,1.0,184.4392523364486
fixed_level_2,0.11457731350485964,0.01792396977543831,0.4953271028037383,20260917,1.0,153.2336448598131
fixed_level_3,0.11538751530981664,0.018696798011660576,0.4951923076923077,20260917,0.9719626168224299,70.35096153846153
fixed_level_4,0.11051803271282754,0.01817457377910614,0.5028901734104047,20260917,0.8084112149532711,15.06936416184971
operational_theorem_frontier,0.11430406256554894,0.0175909623503685,0.5046728971962616,20260917,1.0,0.0
operational_mean_frontier,0.11384806832129117,0.018292663618922234,0.49065420560747663,20260917,1.0,75.99532710280374
old_score_proxy,0.11412794678328407,0.017861075699329376,0.5,20260917,1.0,110.95794392523365
base,0.11968991913131681,0.019317399710416794,0.4672897196261682,20260918,1.0,0.0
fixed_level_1,0.11963675682315528,0.019714586436748505,0.4719626168224299,20260918,1.0,189.07943925233644
fixed_level_2,0.11975105249100088,0.019376220181584358,0.4719626168224299,20260918,1.0,162.26168224299064
fixed_level_3,0.11990220939686139,0.019612308591604233,0.4519230769230769,20260918,0.9719626168224299,78.02403846153847
fixed_level_4,0.11413952841424188,0.020163502544164658,0.4885057471264368,20260918,0.8130841121495327,14.701149425287356
operational_theorem_frontier,0.11968991913131681,0.019317399710416794,0.4672897196261682,20260918,1.0,0.0
operational_mean_frontier,0.11927837259644773,0.020599042996764183,0.4532710280373832,20260918,1.0,55.0607476635514
old_score_proxy,0.11903589509440407,0.020357970148324966,0.4532710280373832,20260918,1.0,107.35981308411215
base,0.10831299470426269,0.01961776241660118,0.5046728971962616,20260919,1.0,0.0
fixed_level_1,0.10781244357576786,0.020100267603993416,0.4953271028037383,20260919,1.0,183.57009345794393
fixed_level_2,0.10791385578269831,0.020769067108631134,0.48598130841121495,20260919,1.0,155.10747663551402
fixed_level_3,0.10872082951147553,0.02072514034807682,0.4729064039408867,20260919,0.9485981308411215,73.5615763546798
fixed_level_4,0.10745571898911507,0.02056126296520233,0.48484848484848486,20260919,0.7710280373831776,13.381818181818181
operational_theorem_frontier,0.10826998660436167,0.01961776241660118,0.5046728971962616,20260919,1.0,0.004672897196261682
operational_mean_frontier,0.1079950880081944,0.019377289339900017,0.5,20260919,1.0,66.62616822429906
old_score_proxy,0.10724780380437617,0.01997416466474533,0.49065420560747663,20260919,1.0,116.10280373831776
base,0.1094488302120577,0.01757167838513851,0.5233644859813084,20260920,1.0,0.0
fixed_level_1,0.10943824971468417,0.018821850419044495,0.5,20260920,1.0,180.4158878504673
fixed_level_2,0.10947531638451116,0.018900208175182343,0.5,20260920,1.0,158.89719626168224
fixed_level_3,0.11067763531957876,0.0196771752089262,0.5119617224880383,20260920,0.9766355140186916,70.52153110047847
fixed_level_4,0.10931731322799124,0.01585216633975506,0.5149700598802395,20260920,0.780373831775701,12.538922155688622
operational_theorem_frontier,0.1094488302120577,0.01757167838513851,0.5233644859813084,20260920,1.0,0.0
operational_mean_frontier,0.10976211284327492,0.018483523279428482,0.5186915887850467,20260920,1.0,31.2803738317757
old_score_proxy,0.10944413448919442,0.0184427909553051,0.5093457943925234,20260920,1.0,108.85514018691589
base,0.11374266077556848,0.01957055926322937,0.5093457943925234,20260921,1.0,0.0
fixed_level_1,0.11420760081964088,0.020818764343857765,0.49065420560747663,20260921,1.0,189.1214953271028
fixed_level_2,0.1141594833729434,0.02027897536754608,0.4953271028037383,20260921,1.0,158.74766355140187
fixed_level_3,0.11449201154343797,0.01935834251344204,0.5219512195121951,20260921,0.9579439252336449,69.35121951219512
fixed_level_4,0.1135981603313603,0.018726594746112823,0.514792899408284,20260921,0.7897196261682243,12.55621301775148
operational_theorem_frontier,0.11374266077556848,0.01957055926322937,0.5093457943925234,20260921,1.0,0.0
operational_mean_frontier,0.11291956868777989,0.019503366202116013,0.5093457943925234,20260921,1.0,78.33644859813084
old_score_proxy,0.11402556050395526,0.020196836441755295,0.5,20260921,1.0,131.45794392523365
